input_title,tmdb_id,tmdb_title,tmdb_original_title,tmdb_release_date,tmdb_matched,api_name,api_matched,all_providers,korean_core_providers,korean_core_direct_count,tving_url,wavve_url,watcha_url,coupang_play_url,netflix_url,disney_plus_url,apple_tv_url,google_play_url,naver_serieson_url,other_urls,error
파묘,838209,파묘,파묘,2024-02-22,true,STREAMING_AVAILABILITY,true,Apple TV | Netflix,,0,,,,,https://www.netflix.com/watch/81787451,,https://tv.apple.com/kr/movie/exhuma/umc.cmc.5umikgbwfr8phhrpdw8x29a6j?playableId=tvs.sbd.9001%3A1741931020,,,,
서울의 봄,919207,서울의 봄,서울의 봄,2023-11-22,true,STREAMING_AVAILABILITY,true,Netflix,,0,,,,,https://www.netflix.com/watch/81778668,,,,,,
범죄도시4,1017163,범죄도시 4,범죄도시 4,2024-04-24,true,STREAMING_AVAILABILITY,false,,,0,,,,,,,,,,,No providers found in Streaming Availability response
범죄도시3,955555,범죄도시 3,범죄도시 3,2023-05-31,true,STREAMING_AVAILABILITY,false,,,0,,,,,,,,,,,No providers found in Streaming Availability response
범죄도시2,619803,범죄도시 2,범죄도시 2,2022-05-18,true,STREAMING_AVAILABILITY,true,Disney+,,0,,,,,,https://www.disneyplus.com/play/0abc86ab-c562-4a38-a1f0-db738b0aa3e1,,,,,
기생충,496243,기생충,기생충,2019-05-30,true,STREAMING_AVAILABILITY,true,Apple TV | Netflix,,0,,,,,https://www.netflix.com/watch/81221938,,https://tv.apple.com/kr/movie/%E1%84%80%E1%85%B5%E1%84%89%E1%85%A2%E1%86%BC%E1%84%8E%E1%85%AE%E1%86%BC/umc.cmc.5j8t2blurpxgpnxeqtm15n8i1,,,,
헤어질 결심,705996,헤어질 결심,헤어질 결심,2022-06-29,true,STREAMING_AVAILABILITY,true,Netflix,,0,,,,,https://www.netflix.com/watch/81646755,,,,,,
부산행,396535,부산행,부산행,2016-07-20,true,STREAMING_AVAILABILITY,true,Apple TV | Disney+,,0,,,,,,https://www.disneyplus.com/play/5c048fe9-511f-4713-ad3a-071e152c2e62,https://tv.apple.com/kr/movie/%E1%84%87%E1%85%AE%E1%84%89%E1%85%A1%E1%86%AB%E1%84%92%E1%85%A2%E1%86%BC/umc.cmc.74kcjars4r3m6bliewisxh4dr?playableId=tvs.sbd.9001%3A1592453988,,,,
올드보이,670,올드보이,올드보이,2003-11-21,true,STREAMING_AVAILABILITY,true,Netflix,,0,,,,,https://www.netflix.com/watch/70024111,,,,,,
극한직업,567646,극한직업,극한직업,2019-01-23,true,STREAMING_AVAILABILITY,true,Apple TV | Netflix,,0,,,,,https://www.netflix.com/watch/81168885,,https://tv.apple.com/kr/movie/%E1%84%80%E1%85%B3%E1%86%A8%E1%84%92%E1%85%A1%E1%86%AB%E1%84%8C%E1%85%B5%E1%86%A8%E1%84%8B%E1%85%A5%E1%86%B8/umc.cmc.5zr3qspjghvbmvafmhkjgc78i?playableId=tvs.sbd.9001%3A1584859856,,,,
콘크리트 유토피아,729854,콘크리트 유토피아,콘크리트 유토피아,2023-08-09,true,STREAMING_AVAILABILITY,true,Netflix,,0,,,,,https://www.netflix.com/watch/81730166,,,,,,
밀수,783110,밀수,밀수,2023-07-26,true,STREAMING_AVAILABILITY,true,Netflix,,0,,,,,https://www.netflix.com/watch/81738691,,,,,,
한산: 용의 출현,588108,한산: 용의 출현,한산: 용의 출현,2022-07-27,true,STREAMING_AVAILABILITY,true,Netflix,,0,,,,,https://www.netflix.com/watch/81639613,,,,,,
모가디슈,607844,모가디슈,모가디슈,2021-07-28,true,STREAMING_AVAILABILITY,true,Netflix,,0,,,,,https://www.netflix.com/watch/81495859,,,,,,
헌트,727340,헌트,헌트,2022-08-10,true,STREAMING_AVAILABILITY,true,Netflix,,0,,,,,https://www.netflix.com/watch/81644420,,,,,,
곡성,293670,곡성,곡성,2016-05-12,true,STREAMING_AVAILABILITY,true,Apple TV | Disney+,,0,,,,,,https://www.disneyplus.com/play/5e643162-d6bd-4620-9fdb-5b8d7d0b783e,https://tv.apple.com/kr/movie/%E1%84%80%E1%85%A9%E1%86%A8%E1%84%89%E1%85%A5%E1%86%BC/umc.cmc.1d0v0i3zq96z746mztcrggw65,,,,
아가씨,290098,아가씨,아가씨,2016-06-01,true,STREAMING_AVAILABILITY,true,Apple TV | Netflix,,0,,,,,https://www.netflix.com/watch/80113804,,https://tv.apple.com/kr/movie/the-handmaiden/umc.cmc.2xjevbtpvvfu38pd43sel3poe?playableId=tvs.sbd.9001%3A1585853774,,,,
마녀,530254,마녀,마녀,2018-06-27,true,STREAMING_AVAILABILITY,false,,,0,,,,,,,,,,,No providers found in Streaming Availability response
신세계,165213,신세계,신세계,2013-02-21,true,STREAMING_AVAILABILITY,true,Netflix,,0,,,,,https://www.netflix.com/watch/70270998,,,,,,
변호인,242452,변호인,변호인,2013-12-18,true,STREAMING_AVAILABILITY,true,Apple TV | Netflix,,0,,,,,https://www.netflix.com/watch/70300787,,https://tv.apple.com/kr/movie/the-attorney/umc.cmc.174eseq7u5uq6o7sx2xlqyrvv?playableId=tvs.sbd.9001%3A1592458385,,,,
7번방의 선물,158445,7번방의 선물,7번방의 선물,2013-01-23,true,STREAMING_AVAILABILITY,true,Apple TV | Netflix,,0,,,,,https://www.netflix.com/watch/70271432,,https://tv.apple.com/kr/movie/7%E1%84%87%E1%85%A5%E1%86%AB%E1%84%87%E1%85%A1%E1%86%BC%E1%84%8B%E1%85%B4-%E1%84%89%E1%85%A5%E1%86%AB%E1%84%86%E1%85%AE%E1%86%AF/umc.cmc.9iy1ijxs1vz0um40t8nq9fi3?playableId=tvs.sbd.9001%3A1592458159,,,,
명량,282631,명량,명량,2014-07-30,true,STREAMING_AVAILABILITY,true,Netflix,,0,,,,,https://www.netflix.com/watch/80198575,,,,,,
암살,291549,암살,암살,2015-07-22,true,STREAMING_AVAILABILITY,true,Apple TV | Disney+ | Netflix,,0,,,,,https://www.netflix.com/watch/80068209,https://www.disneyplus.com/play/e06a52dd-6265-4a62-882a-54f422cd0a1e,https://tv.apple.com/kr/movie/%E1%84%8B%E1%85%A1%E1%86%B7%E1%84%89%E1%85%A1%E1%86%AF/umc.cmc.4ned25d8jqfukxu7bjzhp50dq?playableId=tvs.sbd.9001%3A1579325531,,,,
내부자들,293413,내부자들,내부자들,2015-11-19,true,STREAMING_AVAILABILITY,true,Netflix,,0,,,,,https://www.netflix.com/watch/80092929,,,,,,
택시운전사,437068,택시운전사,택시운전사,2017-08-02,true,STREAMING_AVAILABILITY,true,Netflix,,0,,,,,https://www.netflix.com/watch/80200945,,,,,,
인터스텔라,157336,인터스텔라,Interstellar,2014-11-06,true,STREAMING_AVAILABILITY,true,Apple TV,,0,,,,,,,https://tv.apple.com/kr/movie/%E1%84%8B%E1%85%B5%E1%86%AB%E1%84%90%E1%85%A5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%AF%E1%84%85%E1%85%A1/umc.cmc.1vrwat5k1ucm5k42q97ioqyq3,,,,
라라랜드,313369,라라랜드,La La Land,2016-12-07,true,STREAMING_AVAILABILITY,true,Apple TV,,0,,,,,,,https://tv.apple.com/kr/movie/%E1%84%85%E1%85%A1%E1%84%85%E1%85%A1%E1%84%85%E1%85%A2%E1%86%AB%E1%84%83%E1%85%B3/umc.cmc.2ls5rdvvy1t038my1urkcjt94,,,,
듄,438631,듄,Dune,2021-10-20,true,STREAMING_AVAILABILITY,true,Apple TV,,0,,,,,,,https://tv.apple.com/kr/movie/%E1%84%83%E1%85%B2%E1%86%AB/umc.cmc.2l7qj9p33t3jww1roxi8cgiw5?playableId=tvs.sbd.9001%3A1585877256,,,,
스파이더맨: 노 웨이 홈,634649,스파이더맨: 노 웨이 홈,Spider-Man: No Way Home,2021-12-15,true,STREAMING_AVAILABILITY,true,Apple TV | Disney+,,0,,,,,,https://www.disneyplus.com/play/d8e24be4-2fb2-4891-bd08-5b27964398e2,https://tv.apple.com/kr/movie/%E1%84%89%E1%85%B3%E1%84%91%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%83%E1%85%A5%E1%84%86%E1%85%A2%E1%86%AB-%E1%84%82%E1%85%A9-%E1%84%8B%E1%85%B0%E1%84%8B%E1%85%B5-%E1%84%92%E1%85%A9%E1%86%B7/umc.cmc.2qf7xc5hds0m5jgx4roago580,,,,
어벤져스: 엔드게임,299534,어벤져스: 엔드게임,Avengers: Endgame,2019-04-24,true,STREAMING_AVAILABILITY,true,Apple TV | Disney+,,0,,,,,,https://www.disneyplus.com/play/b39aa962-be56-4b09-a536-98617031717f,https://tv.apple.com/kr/movie/%E1%84%8B%E1%85%A5%E1%84%87%E1%85%A6%E1%86%AB%E1%84%8C%E1%85%A7%E1%84%89%E1%85%B3-%E1%84%8B%E1%85%A6%E1%86%AB%E1%84%83%E1%85%B3%E1%84%80%E1%85%A6%E1%84%8B%E1%85%B5%E1%86%B7/umc.cmc.4ao9tm6b6rz4sy7yj5v13ltf8,,,,
